Author,Quote
Richard Hammond,I've been in a car three or four times when it filled with water and it's not a comfortable feeling.
Mike Farrell,People seem to see no difference between an intimate conversation and a conversation at the water cooler.
James Heckman,"The separate water foundations, park benches, bathrooms and restaurants of the Jim Crow South startled me. These experiences motivated my lifelong study of the status of African Americans and the sources of improvement in that status."
Lisa Kennedy Montgomery,Sleep and hydration are the very best things you can do for your skin. You want to drink water and green tea throughout the day and get as much sleep as you possible can.
Steven Gundry,"Nothing is worse than washing a head of lettuce or greens, then trying to blot the water with paper towels. A salad spinner lets you rinse, then spin all the water off completely. Plus, it's fun to use."
Sunil Grover,"If you can drink water when you want, you are lucky, if you can sit up on your bed by yourself, you are lucky, if you can walk to the bathroom without anyone's help, you are lucky."
Flea,"Water is my main state. If I time before I run - like, to digest, like, a good hour and a half or so to digest, I'll eat oatmeal. but I'm a vegetarian for the most part, so in general, I just eat grains and vegetables and fruit."
Mike Espy,"I am a lifelong Mississippian. I remember Jim Crow, 'colored' and 'white' water fountains, and my mother's inability to try on a dress in a store because no white woman would buy it if she put it back."
Diana Nyad,"In swimming, especially training out in the ocean and open water, you got fogged-over goggles, you're stuck with your own thoughts - there's great benefits to that, deep thinking like that after many hours, but there's also tremendous loneliness. You burn out. You want to run, jump, ski, do anything. So at age 30, I was finished."
Thomas Babington Macaulay,Many politicians are in the habit of laying it down as a self-evident proposition that no people ought to be free till they are fit to use their freedom. The maxim is worthy of the fool in the old story who resolved not to go into the water till he had learned to swim.
Gore Vidal,"I'm a fervent foe of water pollution, whether it is our own Hudson River or Philadelphia's tap water."
Lewis Black,"When a country wants television more than they want clean water, they've lost their grip."
Dustin Johnson,"I love being on the water, wakesurfing and wakeboarding. I'm not thinking about golf. I'm just wondering if my cooler's got enough ice to make it through the day."
Jagmeet Singh,"Why is it that we ask the question about whether or not Indigenous people should have clean drinking water? We've got to take a minute and think why is that even a question. Yes, they deserve clean drinking water."
John Stuart Blackie,"Wine is the drink of the gods, milk the drink of babes, tea the drink of women, and water the drink of beasts."
Kal Penn,"The water cooler conversation in every job I've had is sports, it's what did you do this weekend, it's 'How are your parents doing?'"
Claire Saffitz,"Gluten - the elastic strands that give bread its chewy texture - forms when certain proteins in flour interact with water, which is desirable in bread, but not tender cake."
